year	state	office	dist	type	nextup	party	party_formal	name_snyder	inc	candidatevotes	totalvotes	won	runoff
2006.0	"AZ"	"H"	8.0	"G"	2008.0	"D"	"D"	"GIFFORDS, GABRIELLE"	0.0	137655.0	253702.0	1.0	
2006.0	"AZ"	"H"	8.0	"G"	2008.0	"I"	"I"	"QUICK, JAY DUDLEY"	0.0	4408.0	253702.0	0.0	
2006.0	"AZ"	"H"	1.0	"G"	2008.0	"Lbt"	"Lbt"	"SCHLOSSER, DAVID B."	0.0	9802.0	204139.0	0.0	
2006.0	"AZ"	"H"	2.0	"G"	2008.0	"Lbt"	"Lbt"	"GAMMILL, POWELL E."	0.0	5734.0	230555.0	0.0	
2006.0	"AZ"	"H"	3.0	"G"	2008.0	"Lbt"	"Lbt"	"YANNONE, MARK J."	0.0	4744.0	189849.0	0.0	
2006.0	"AZ"	"H"	4.0	"G"	2008.0	"Lbt"	"Lbt"	"HARDERS, RONALD"	0.0	2770.0	77861.0	0.0	
2006.0	"AZ"	"H"	5.0	"G"	2008.0	"Lbt"	"Lbt"	"SEVERIN, WARREN D."	0.0	6357.0	202010.0	0.0	
2006.0	"AZ"	"H"	6.0	"G"	2008.0	"Lbt"	"Lbt"	"BLAIR, JASON M."	0.0	51285.0	203486.0	0.0	
2006.0	"AZ"	"H"	7.0	"G"	2008.0	"Lbt"	"Lbt"	"COBB, JOE"	0.0	4673.0	131525.0	0.0	
2006.0	"AZ"	"H"	8.0	"G"	2008.0	"Lbt"	"Lbt"	"NOLAN, DAVID F."	0.0	4849.0	253702.0	0.0	
2006.0	"AZ"	"H"	1.0	"G"	2008.0	"R"	"R"	"RENZI, RICHARD GEORGE (RICK)"	1.0	105646.0	204139.0	1.0	
2006.0	"AZ"	"H"	2.0	"G"	2008.0	"R"	"R"	"FRANKS, TRENT"	1.0	135150.0	230555.0	1.0	
2006.0	"AZ"	"H"	3.0	"G"	2008.0	"R"	"R"	"SHADEGG, JOHN BARDEN"	1.0	112519.0	189849.0	1.0	
2006.0	"AZ"	"H"	4.0	"G"	2008.0	"R"	"R"	"KARG, DON J."	0.0	18627.0	77861.0	0.0	
2006.0	"AZ"	"H"	5.0	"G"	2008.0	"R"	"R"	"HAYWORTH, JOHN DAVID (J.D.), JR."	1.0	93815.0	202010.0	0.0	
2006.0	"AZ"	"H"	6.0	"G"	2008.0	"R"	"R"	"FLAKE, JEFFRY LANE (JEFF)"	1.0	152201.0	203486.0	1.0	
2006.0	"AZ"	"H"	7.0	"G"	2008.0	"R"	"R"	"DRAKE, RON"	0.0	46498.0	131525.0	0.0	
2006.0	"AZ"	"H"	8.0	"G"	2008.0	"R"	"R"	"GRAF, RANDALL RANDY"	0.0	106790.0	253702.0	0.0	
2006.0	"AZ"	"G"		"G"	2010.0	"D"	"D"	"NAPOLITANO, JANET"	1.0	959830.0	1533626.0	1.0	
2006.0	"AZ"	"G"		"G"	2010.0	"Lbt"	"Lbt"	"HESS, BARRY JOEL, II"	0.0	30268.0	1533626.0	0.0	
2006.0	"AZ"	"G"		"G"	2010.0	"R"	"R"	"MUNSIL, LEN"	0.0	543528.0	1533626.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"D"	"D"	"FEINSTEIN, DIANNE"	1.0	5076289.0	8541418.0	1.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Grn"	"Grn"	"CHRETIEN, MICHAEL TODD"	0.0	147074.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Lbt"	"Lbt"	"METTI, MICHAEL S."	0.0	133851.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Other"	"P&F"	"FEINLAND, MARSHA J."	0.0	117764.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Other"	"Amer Indep"	"GRUNDMANN, DON J."	0.0	75350.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Other"	"W-I"	"MACKLER, JEFFREY"	0.0	108.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"Other"	"W-I"	"MESPLAY, KENT PHILIP"	0.0	160.0	8541418.0	0.0	
2006.0	"CA"	"S"	1.0	"G"	2012.0	"R"	"R"	"MOUNTJOY, RICHARD L. (DICK)"	0.0	2990822.0	8541418.0	0.0	
2006.0	"CA"	"H"	1.0	"G"	2008.0	"D"	"D"	"THOMPSON, C. MICHAEL (MIKE)"	1.0	144409.0	218005.0	1.0	
2006.0	"CA"	"H"	2.0	"G"	2008.0	"D"	"D"	"SEKHON, ARJINDERPAL SINGH"	0.0	68234.0	210202.0	0.0	
2006.0	"CA"	"H"	3.0	"G"	2008.0	"D"	"D"	"DURSTON, WILLIAM E. (BILL)"	0.0	86318.0	228169.0	0.0	
2006.0	"CA"	"H"	4.0	"G"	2008.0	"D"	"D"	"BROWN, CHARLES D. (CHARLIE)"	0.0	126999.0	276893.0	0.0	
2006.0	"CA"	"H"	5.0	"G"	2008.0	"D"	"D"	"MATSUI, DORIS O."	2.0	105676.0	149266.0	1.0	
2006.0	"CA"	"H"	6.0	"G"	2008.0	"D"	"D"	"WOOLSEY, LYNN C."	1.0	173190.0	246623.0	1.0	
2006.0	"CA"	"H"	7.0	"G"	2008.0	"D"	"D"	"MILLER, GEORGE, III"	1.0	118000.0	140486.0	1.0	
2006.0	"CA"	"H"	8.0	"G"	2008.0	"D"	"D"	"PELOSI, NANCY"	1.0	148435.0	184639.0	1.0	
2006.0	"CA"	"H"	9.0	"G"	2008.0	"D"	"D"	"LEE, BARBARA J."	1.0	167245.0	193686.0	1.0	
2006.0	"CA"	"H"	10.0	"G"	2008.0	"D"	"D"	"TAUSCHER, ELLEN O."	1.0	130859.0	196928.0	1.0	
2006.0	"CA"	"H"	11.0	"G"	2008.0	"D"	"D"	"MCNERNEY, GERALD MARK (JERRY)"	0.0	109868.0	206264.0	1.0	
2006.0	"CA"	"H"	12.0	"G"	2008.0	"D"	"D"	"LANTOS, THOMAS P. (TOM)"	1.0	138650.0	182324.0	1.0	
2006.0	"CA"	"H"	13.0	"G"	2008.0	"D"	"D"	"STARK, FORTNEY HILLMAN (PETE), JR."	1.0	110756.0	147897.0	1.0	
2006.0	"CA"	"H"	14.0	"G"	2008.0	"D"	"D"	"ESHOO, ANNA G."	1.0	141153.0	198575.0	1.0	
2006.0	"CA"	"H"	15.0	"G"	2008.0	"D"	"D"	"HONDA, MICHAEL MAKOTO (MIKE)"	1.0	115532.0	159718.0	1.0	
2006.0	"CA"	"H"	16.0	"G"	2008.0	"D"	"D"	"LOFGREN, ZOE"	1.0	98929.0	136059.0	1.0	
2006.0	"CA"	"H"	17.0	"G"	2008.0	"D"	"D"	"FARR, SAM"	1.0	120750.0	159293.0	1.0	
2006.0	"CA"	"H"	18.0	"G"	2008.0	"D"	"D"	"CARDOZA, DENNIS A."	1.0	71182.0	108713.0	1.0	
2006.0	"CA"	"H"	19.0	"G"	2008.0	"D"	"D"	"COX, T.J."	0.0	71748.0	181994.0	0.0	
2006.0	"CA"	"H"	20.0	"G"	2008.0	"D"	"D"	"COSTA, JIM"	1.0	61120.0	61120.0	1.0	
2006.0	"CA"	"H"	21.0	"G"	2008.0	"D"	"D"	"HAZE, ERNEST STEVEN"	0.0	42718.0	142661.0	0.0	
2006.0	"CA"	"H"	22.0	"G"	2008.0	"D"	"D"	"BEERY, SHARON MAE"	0.0	55226.0	188504.0	0.0	
2006.0	"CA"	"H"	23.0	"G"	2008.0	"D"	"D"	"CAPPS, LOIS G."	1.0	114661.0	175933.0	1.0	
2006.0	"CA"	"H"	24.0	"G"	2008.0	"D"	"D"	"MARTINEZ, JILL MARIE"	0.0	79461.0	209273.0	0.0	
2006.0	"CA"	"H"	25.0	"G"	2008.0	"D"	"D"	"RODRIGUEZ, ROBERTO J."	0.0	55913.0	156773.0	0.0	
2006.0	"CA"	"H"	26.0	"G"	2008.0	"D"	"D"	"MATTHEWS, CYNTHIA RODRIGUEZ"	0.0	67878.0	179144.0	0.0	
2006.0	"CA"	"H"	27.0	"G"	2008.0	"D"	"D"	"SHERMAN, BRAD"	1.0	92650.0	134724.0	1.0	
2006.0	"CA"	"H"	28.0	"G"	2008.0	"D"	"D"	"BERMAN, HOWARD L."	1.0	79866.0	108042.0	1.0	
2006.0	"CA"	"H"	29.0	"G"	2008.0	"D"	"D"	"SCHIFF, ADAM B."	1.0	91014.0	143389.0	1.0	
2006.0	"CA"	"H"	30.0	"G"	2008.0	"D"	"D"	"WAXMAN, HENRY A."	1.0	151284.0	211734.0	1.0	
2006.0	"CA"	"H"	31.0	"G"	2008.0	"D"	"D"	"BECERRA, XAVIER"	1.0	64952.0	64952.0	1.0	
2006.0	"CA"	"H"	32.0	"G"	2008.0	"D"	"D"	"SOLIS, HILDA L."	1.0	76059.0	91686.0	1.0	
2006.0	"CA"	"H"	33.0	"G"	2008.0	"D"	"D"	"WATSON, DIANE EDITH"	1.0	113715.0	113715.0	1.0	
2006.0	"CA"	"H"	34.0	"G"	2008.0	"D"	"D"	"ROYBAL-ALLARD, LUCILLE"	1.0	57459.0	74818.0	1.0	
2006.0	"CA"	"H"	35.0	"G"	2008.0	"D"	"D"	"WATERS, MAXINE"	1.0	82498.0	98506.0	1.0	
2006.0	"CA"	"H"	36.0	"G"	2008.0	"D"	"D"	"HARMAN, JANE"	1.0	105323.0	166153.0	1.0	
2006.0	"CA"	"H"	37.0	"G"	2008.0	"D"	"D"	"MILLENDER-MCDONALD, JUANITA"	1.0	80716.0	97962.0	1.0	
2006.0	"CA"	"H"	38.0	"G"	2008.0	"D"	"D"	"NAPOLITANO, GRACE FLORES"	1.0	75181.0	99801.0	1.0	
2006.0	"CA"	"H"	39.0	"G"	2008.0	"D"	"D"	"SANCHEZ, LINDA T."	1.0	72149.0	109533.0	1.0	
2006.0	"CA"	"H"	40.0	"G"	2008.0	"D"	"D"	"HOFFMAN, FLORICE OREA"	0.0	46418.0	151289.0	0.0	
2006.0	"CA"	"H"	41.0	"G"	2008.0	"D"	"D"	"CONTRERAS, LOUIE A."	0.0	54235.0	163996.0	0.0	
2006.0	"CA"	"H"	43.0	"G"	2008.0	"D"	"D"	"BACA, JOE"	1.0	52791.0	81860.0	1.0	
2006.0	"CA"	"H"	44.0	"G"	2008.0	"D"	"D"	"VANDENBERG, LOUIS JOHN"	0.0	55275.0	149316.0	0.0	
2006.0	"CA"	"H"	45.0	"G"	2008.0	"D"	"D"	"ROTH, DAVID MALCOLM"	0.0	64613.0	164251.0	0.0	
2006.0	"CA"	"H"	46.0	"G"	2008.0	"D"	"D"	"BRANDT, JIM D."	0.0	71573.0	195052.0	0.0	
2006.0	"CA"	"H"	47.0	"G"	2008.0	"D"	"D"	"SANCHEZ, LORETTA L."	1.0	47134.0	75619.0	1.0	
2006.0	"CA"	"H"	48.0	"G"	2008.0	"D"	"D"	"YOUNG, STEVEN RAY (STEVE)"	0.0	74647.0	200527.0	0.0	
2006.0	"CA"	"H"	49.0	"G"	2008.0	"D"	"D"	"CRISCENZO, JEENI"	0.0	52227.0	156137.0	0.0	
2006.0	"CA"	"H"	50.0	"G"	2008.0	"D"	"D"	"BUSBY, FRANCINE P."	0.0	96612.0	222102.0	0.0	
2006.0	"CA"	"H"	50.0	"S"	2006.0	"D"	"D"	"BUSBY, FRANCINE P."	0.0	71146.0	158033.0	0.0	
2006.0	"CA"	"H"	51.0	"G"	2008.0	"D"	"D"	"FILNER, BOB"	1.0	78114.0	115835.0	1.0	
2006.0	"CA"	"H"	52.0	"G"	2008.0	"D"	"D"	"RINALDI, JOHN"	0.0	61208.0	191369.0	0.0	
2006.0	"CA"	"H"	53.0	"G"	2008.0	"D"	"D"	"DAVIS, SUSAN A."	1.0	97541.0	144387.0	1.0	
2006.0	"CA"	"H"	1.0	"G"	2008.0	"Grn"	"Grn"	"ELIZONDO, PAMELA (PAM)"	0.0	6899.0	218005.0	0.0	
2006.0	"CA"	"H"	5.0	"G"	2008.0	"Grn"	"Grn"	"KRAVITZ, JEFFREY S. (JEFF)"	0.0	6466.0	149266.0	0.0	
2006.0	"CA"	"H"	8.0	"G"	2008.0	"Grn"	"Grn"	"KEEFER, KRISTINE (KRISSY)"	0.0	13653.0	184639.0	0.0	
2006.0	"CA"	"H"	14.0	"G"	2008.0	"Grn"	"Grn"	"BROUILLET, CAROL LIANE"	0.0	4633.0	198575.0	0.0	
2006.0	"CA"	"H"	21.0	"G"	2008.0	"Grn"	"Grn"	"MILLER, JOHN ROGER"	0.0	4729.0	142661.0	0.0	
2006.0	"CA"	"H"	28.0	"G"	2008.0	"Grn"	"Grn"	"DELEAR, BYRON WALKER"	0.0	3868.0	108042.0	0.0	
2006.0	"CA"	"H"	29.0	"G"	2008.0	"Grn"	"Grn"	"PAPARIAN, WILLIAM M."	0.0	8197.0	143389.0	0.0	
2006.0	"CA"	"H"	50.0	"S"	2006.0	"I"	"I"	"GRIFFITH, WILLIAM D."	0.0	6027.0	158033.0	0.0	
2006.0	"CA"	"H"	2.0	"G"	2008.0	"Lbt"	"Lbt"	"HINESLEY, E. KENT"	0.0	7057.0	210202.0	0.0	
2006.0	"CA"	"H"	3.0	"G"	2008.0	"Lbt"	"Lbt"	"TUMA, DOUGLAS ARTHUR"	0.0	3772.0	228169.0	0.0	
2006.0	"CA"	"H"	4.0	"G"	2008.0	"Lbt"	"Lbt"	"WARREN, DAN"	0.0	14076.0	276893.0	0.0	
2006.0	"CA"	"H"	6.0	"G"	2008.0	"Lbt"	"Lbt"	"FRIESEN, RICHARD W."	0.0	9028.0	246623.0	0.0	
2006.0	"CA"	"H"	7.0	"G"	2008.0	"Lbt"	"Lbt"	"MCCONNELL, CAMDEN WHITE"	0.0	22486.0	140486.0	0.0	
2006.0	"CA"	"H"	8.0	"G"	2008.0	"Lbt"	"Lbt"	"BERG, PHILIP ZIMT"	0.0	2751.0	184639.0	0.0	
2006.0	"CA"	"H"	9.0	"G"	2008.0	"Lbt"	"Lbt"	"EYER, JAMES M. (JIM)"	0.0	5655.0	193686.0	0.0	
2006.0	"CA"	"H"	14.0	"G"	2008.0	"Lbt"	"Lbt"	"HOLTZ, BRIAN"	0.0	4692.0	198575.0	0.0	
2006.0	"CA"	"H"	25.0	"G"	2008.0	"Lbt"	"Lbt"	"ERICKSON, DAVID W."	0.0	6873.0	156773.0	0.0	
2006.0	"CA"	"H"	26.0	"G"	2008.0	"Lbt"	"Lbt"	"BROWN, T.E. (TED), JR."	0.0	5887.0	179144.0	0.0	
2006.0	"CA"	"H"	28.0	"G"	2008.0	"Lbt"	"Lbt"	"ROSS, KELLEY L."	0.0	3679.0	108042.0	0.0	
2006.0	"CA"	"H"	29.0	"G"	2008.0	"Lbt"	"Lbt"	"KELLER, JIM"	0.0	2258.0	143389.0	0.0	
2006.0	"CA"	"H"	32.0	"G"	2008.0	"Lbt"	"Lbt"	"FAEGRE, LELAND THOMAS"	0.0	15627.0	91686.0	0.0	
2006.0	"CA"	"H"	35.0	"G"	2008.0	"Lbt"	"Lbt"	"IRELAND, PAUL T."	0.0	7665.0	98506.0	0.0	
2006.0	"CA"	"H"	36.0	"G"	2008.0	"Lbt"	"Lbt"	"BINKLEY, MICHAEL J. (MIKE)"	0.0	3170.0	166153.0	0.0	
2006.0	"CA"	"H"	37.0	"G"	2008.0	"Lbt"	"Lbt"	"PETERS, HERBERT GLENN (HERB)"	0.0	17246.0	97962.0	0.0	
2006.0	"CA"	"H"	40.0	"G"	2008.0	"Lbt"	"Lbt"	"INMAN, PHILIP H."	0.0	3876.0	151289.0	0.0	
2006.0	"CA"	"H"	46.0	"G"	2008.0	"Lbt"	"Lbt"	"CHANG, DENNIS"	0.0	7303.0	195052.0	0.0	
2006.0	"CA"	"H"	48.0	"G"	2008.0	"Lbt"	"Lbt"	"COHEN, BRUCE DAVID"	0.0	5750.0	200527.0	0.0	
2006.0	"CA"	"H"	49.0	"G"	2008.0	"Lbt"	"Lbt"	"GROSSMITH, LARS R."	0.0	4952.0	156137.0	0.0	
2006.0	"CA"	"H"	50.0	"G"	2008.0	"Lbt"	"Lbt"	"KING, PAUL"	0.0	4119.0	222102.0	0.0	
2006.0	"CA"	"H"	50.0	"S"	2006.0	"Lbt"	"Lbt"	"KING, PAUL"	0.0	2519.0	158033.0	0.0	
2006.0	"CA"	"H"	51.0	"G"	2008.0	"Lbt"	"Lbt"	"LITWIN, DAN G. (FRODO)"	0.0	2790.0	115835.0	0.0	
2006.0	"CA"	"H"	52.0	"G"	2008.0	"Lbt"	"Lbt"	"BENOIT, MICHAEL"	0.0	6465.0	191369.0	0.0	
2006.0	"CA"	"H"	53.0	"G"	2008.0	"Lbt"	"Lbt"	"LIPPE, ERNEST H. (ERNIE)"	0.0	3534.0	144387.0	0.0	
2006.0	"CA"	"H"	1.0	"G"	2008.0	"Other"	"P&F"	"STOCK, TIMOTHY J."	0.0	3503.0	218005.0	0.0	
2006.0	"CA"	"H"	3.0	"G"	2008.0	"Other"	"P&F"	"ROSKEY, MICHAEL L. (MIKE)"	0.0	2370.0	228169.0	0.0	
2006.0	"CA"	"H"	5.0	"G"	2008.0	"Other"	"P&F"	"REIGER, JOHN C."	0.0	2018.0	149266.0	0.0	
2006.0	"CA"	"H"	17.0	"G"	2008.0	"Other"	"W-I"	"TAYLOR, JEFF EDWARD"	0.0	2611.0	159293.0	0.0	
2006.0	"CA"	"H"	26.0	"G"	2008.0	"Other"	"Amer Indep"	"GRAHAM, ELLIOTT"	0.0	3351.0	179144.0	0.0	
2006.0	"CA"	"H"	29.0	"G"	2008.0	"Other"	"P&F"	"LLAMAS, LYNDA L."	0.0	2599.0	143389.0	0.0	
2006.0	"CA"	"H"	30.0	"G"	2008.0	"Other"	"P&F"	"CANNON, ADELE M."	0.0	4546.0	211734.0	0.0	
2006.0	"CA"	"H"	35.0	"G"	2008.0	"Other"	"Amer Indep"	"MEGO, GORDON MICHAEL"	0.0	8343.0	98506.0	0.0	
2006.0	"CA"	"H"	36.0	"G"	2008.0	"Other"	"P&F"	"SMITH, JAMES R."	0.0	4592.0	166153.0	0.0	
2006.0	"CA"	"H"	44.0	"G"	2008.0	"Other"	"P&F"	"AKIN, KEVIN D."	0.0	4486.0	149316.0	0.0	
2006.0	"CA"	"H"	49.0	"G"	2008.0	"Other"	"W-I"	"FORD, FRANK"	0.0	127.0	156137.0	0.0	
2006.0	"CA"	"H"	50.0	"G"	2008.0	"Other"	"P&F"	"CLARK, MIRIAM ELLEN MCCOMBE"	0.0	3353.0	222102.0	0.0	
2006.0	"CA"	"H"	1.0	"G"	2008.0	"R"	"R"	"JONES, JOHN W."	0.0	63194.0	218005.0	0.0	
2006.0	"CA"	"H"	2.0	"G"	2008.0	"R"	"R"	"HERGER, WALTER WILLIAM (WALLY), JR."	1.0	134911.0	210202.0	1.0	
2006.0	"CA"	"H"	3.0	"G"	2008.0	"R"	"R"	"LUNGREN, DANIEL EDWARD (DAN)"	1.0	135709.0	228169.0	1.0	
2006.0	"CA"	"H"	4.0	"G"	2008.0	"R"	"R"	"DOOLITTLE, JOHN T."	1.0	135818.0	276893.0	1.0	
2006.0	"CA"	"H"	5.0	"G"	2008.0	"R"	"R"	"YAN, XIAOCHIN CLAIRE"	0.0	35106.0	149266.0	0.0	
2006.0	"CA"	"H"	6.0	"G"	2008.0	"R"	"R"	"HOOPER, TODD LEWIS"	0.0	64405.0	246623.0	0.0	
2006.0	"CA"	"H"	8.0	"G"	2008.0	"R"	"R"	"DENUNZIO, MICHAEL ANTHONY (MIKE)"	0.0	19800.0	184639.0	0.0	
2006.0	"CA"	"H"	9.0	"G"	2008.0	"R"	"R"	"DEN-DULK, JOHN D. (J.D.)"	0.0	20786.0	193686.0	0.0	
2006.0	"CA"	"H"	10.0	"G"	2008.0	"R"	"R"	"LINN, DARCY PEARL"	0.0	66069.0	196928.0	0.0	
2006.0	"CA"	"H"	11.0	"G"	2008.0	"R"	"R"	"POMBO, RICHARD W."	1.0	96396.0	206264.0	0.0	
2006.0	"CA"	"H"	12.0	"G"	2008.0	"R"	"R"	"MOLONEY, MICHAEL J. (MIKE)"	0.0	43674.0	182324.0	0.0	
2006.0	"CA"	"H"	13.0	"G"	2008.0	"R"	"R"	"BRUNO, GEORGE I., JR."	0.0	37141.0	147897.0	0.0	
2006.0	"CA"	"H"	14.0	"G"	2008.0	"R"	"R"	"SMITH, ROB"	0.0	48097.0	198575.0	0.0	
2006.0	"CA"	"H"	15.0	"G"	2008.0	"R"	"R"	"CHUKWU, RAYMOND LEMMY"	0.0	44186.0	159718.0	0.0	
2006.0	"CA"	"H"	16.0	"G"	2008.0	"R"	"R"	"WINSTON, CHAREL"	0.0	37130.0	136059.0	0.0	
2006.0	"CA"	"H"	17.0	"G"	2008.0	"R"	"R"	"DEMAIO, ANTHONY R."	0.0	35932.0	159293.0	0.0	
2006.0	"CA"	"H"	18.0	"G"	2008.0	"R"	"R"	"KANNO, JOHN ANDREW"	0.0	37531.0	108713.0	0.0	
